"TotMilch_Menge_inkl_LI","CH_Milchpreis","Molkerei_Milchpreis","Verkaest_Milchpreis","Gewerblich_Milchpreis","Bio_Milchpreis","EU_Milchpreis_CHF","Kurs_CHF_Euro","Total_Staatlich_Zahlung","staatlich_kg_Milch","Kontingent_01","Freihandel_01","EU_Politik_01","Industriell_verkäst_Milchpreis","Import_Menge_Käse_und_Quark_kg","Schlachtungen_Kühe","Magermilchpulver_Prod_Menge","Vollmilchpulver_Prod_Menge","Butter_Prod_Menge","Export_Menge_Käse_und_Quark_kg","Milchpreis_NZ_Euro"
253052,72.6889784864563,71.1467498181863,73.21,74.57,81.1971962282314,46.35661,1.5478,59979820.0333333,23.702567074488,1,0,1,72.3918811105321,2889369,10861,2252,944,2914,4803074,17.69
262690,72.8034355540436,70.9822686931133,73.24,73.82,80.371973312579,44.61408,1.5491,32769156.8999999,12.4744592104762,1,0,1,72.3737439309341,2305601,15982,2567,1412,3826,3675728,17.15
248074,71.6610581925368,69.8494152281633,71.45,73.99,78.8882728581218,44.334988,1.5578,47361120.75,19.0915294428275,1,0,1,67.6558592438871,2490154,10972,2305,1311,3141,3830563,17.01
286167,71.0360600209011,68.718721278247,71.14,73.65,77.6120839395577,43.267504,1.5688,50101693.85,17.5078516565502,1,0,1,67.3733909872978,2902580,10755,2578,1086,4136,4294194,16.24
290643,70.1439477414298,68.011049024596,70.58,73.1,74.2183844799889,42.144324,1.5749,52560905.9,18.0843529347,1,0,1,66.8014340695399,2634892,8355,3229,1225,3996,3655129,15.59
304211,69.9409641276112,67.4264910067572,70.73,73.59,75.1455133580289,41.293945,1.5565,46986597.8499999,15.4453973886546,1,0,1,66.4426501036442,3219185,16002,2997,1553,4045,4269473,15.2
266436,71.4972058926652,69.4473221813127,71.77,73.44,79.7049177801135,41.2932,1.56,54445942,20.4349044423426,1,0,1,69.2661697524143,2896319,11986,1915,1308,2908,3880051,14.97
252642,72.6382830067278,71.0531390329309,72.61,73.45,82.2723584963394,41.991422,1.5686,49248293.05,19.4933118998425,1,0,1,71.3587493316002,2693350,11302,1526,1064,2912,3866124,14.87
248366,74.7032722943522,73.7047669875146,74.13,74.28,85.0990932417485,44.26465,1.5775,45083876.35,18.152193275247,1,0,1,73.9163014907685,2991848,14423,797,1361,2287,4414459,15.16
269284,75.0937366598799,73.7578564194783,74.98,74.88,85.1731357333786,45.357168,1.5837,46032816.1499999,17.0945233099627,1,0,1,75.1288516078069,2667566,14064,867,1575,1987,4208745,15.72
268096,74.5732607965187,72.8943911417727,74.86,75.11,83.9515464577391,46.26027,1.5897,47714300.45,17.797468238989,1,0,1,74.4915805393391,2748429,16806,1553,1590,2360,5234984,16.04
249141,73.6837348728305,71.7732826491886,74.32,75.42,81.7418884859174,46.874368,1.5922,47692593.4,19.1428120622459,1,0,1,72.6808718811732,2909739,15960,1461,1075,2266,4861044,15.88
259223,73.1070055514127,71.2901343880719,73.74,75.15,81.2857475506083,46.285434,1.5966,48385216.9,18.6654798763999,1,0,1,71.6331710577749,2900386,10995,2009,1197,3029,4752735,16
274482,70.43817512273,68.4029004394123,71.24,72.79,78.6019637188786,46.402904,1.6157,39895927.0499999,14.5349884691892,1,0,1,68.9143786866857,2667115,16705,2379,1505,3640,3695667,16.88
255294,68.1528631434603,65.7034604748742,69.42,71.85,74.246556488888,46.320541,1.6213,42668894.45,16.7136299521336,1,0,1,65.7710205902721,2580402,11517,2419,1102,3315,3861854,16.74
292819,67.4959287158972,64.8741518849555,68.86,71.62,74.0388444312689,44.959288,1.6126,42868884.8499999,14.6400625813215,1,0,1,64.723723730514,3058447,10965,2535,1103,3777,4216551,16.66
303826,66.9308960823438,64.1679822850518,68.52,71.11,72.1559779837275,45.159492,1.6374,49176118.6999999,16.1856189727014,1,0,1,64.6455223968437,2898393,8658,3546,1437,4186,3686466,17.98
300271,66.4594620610492,63.1868840750858,68.03,71.03,71.463057783421,45.6885,1.65,44762910.05,14.9075035717735,1,0,1,63.5335236846267,3135351,12771,2963,1450,3743,4372489,17.95
258910,69.4315105782381,67.3010333533275,69.86,71.26,78.7401753410985,47.359746,1.6542,52969154.1499999,20.4585200069522,1,0,1,67.7469399527237,3219528,11184,1185,1245,2271,3952537,23.72
252517,71.3477787017252,69.6117488255066,71.64,72.6,79.7542909484757,50.297412,1.6567,47205899.1499999,18.6941469881235,1,1,1,70.195255186954,3481920,10790,1627,1185,2765,4280647,27.89
248753,72.9621670633646,71.7268426279443,72.88,73.12,82.1564101239271,54.093231,1.6377,45902727.2499999,18.4531351380686,1,1,1,72.5167936168303,3389246,12300,1979,1411,2507,4683940,26
275651,73.7924262235943,72.4150804501066,73.62,74.02,84.6759436766444,58.272075,1.6475,44867943.8499999,16.2770836492521,1,1,1,73.0160654552558,3206180,12451,1066,1428,2257,5161214,24.96
278300,74.447803505918,73.1261747000758,74.59,74.34,82.8475758953458,64.828224,1.6704,43198779.6999999,15.522378620194,1,1,1,74.966617633872,3280454,15159,1997,1753,2691,5880142,25.98
250520,75.7055155903988,73.8377439042361,75.89,77.58,83.0572531462965,64.6212,1.6485,48130168.7,19.2121062988983,1,1,1,73.3573545460585,3186369,14906,865,1608,4195,5612896,27.31
268744,75.4051977808097,73.5708714886615,76.01,77.97,82.2510280503593,64.735158,1.6586,36483355.55,13.5755051461614,1,1,1,73.0850402113491,3225446,9630,2292,1547,3240,4916670,27.73
283552,77.2094005814796,75.3916655216216,77.64,79.21,85.48672051981,62.392406,1.6189,39647194.9333333,13.9823365496746,1,1,1,75.2785360376467,3148893,14714,2686,1657,4303,5089345,27.55
277011,74.9277777548332,72.3900499461634,76.47,78.5,82.5307463658613,60.744512,1.6087,37768018.9333333,13.6341224476044,1,1,1,73.4171601201168,3144682,11105,2481,1514,3802,4957778,28.3
309682,73.5368535628158,71.0836093841125,74.91,77.9,79.7984359309287,57.18804,1.5711,36140043.6333332,11.6700498037772,1,1,1,70.4388641042083,3487660,9613,3007,1411,4686,4309408,28.71
306262,73.2860616204354,70.618308200803,74.47,77.6,79.9501134592555,55.057254,1.5954,41536545.9833332,13.5624223649468,1,1,1,69.7622707933342,3276670,10240,3021,1285,4502,4328805,27.84
321254,72.4569583815616,69.0830871741093,74.22,77.42,79.4490574504358,55.233,1.6245,38995321.4333332,12.1384703173605,1,1,1,69.4278561499874,3581429,13590,3259,1466,4750,3510415,30.04
274310,76.4232983204969,74.6297836489271,76.57,78.35,84.9374727984372,53.771816,1.6138,48243640.0333332,17.587269889298,1,1,1,73.903398593913,3590328,11167,1538,1615,3154,4049196,29.47
273280,82.1281492144423,82.4947539312002,80.77,80.54,92.1766615166881,55.210446,1.6186,41397564.5833332,15.1484062439012,1,1,1,81.1204522152983,3382507,11400,2399,886,3951,4087941,25.5
265677,83.5786120989512,84.0194235881956,82.22,81.12,93.3192722289653,56.730204,1.6204,40634537.0333332,15.2947138944407,1,1,1,83.8669546308555,3542640,13260,1946,1161,3083,3988320,23.77
